Time [s],Channel 0,Channel 1
148.831762200,1,1
148.831771000,1,0
148.831831600,1,1
148.831849000,1,0
148.831927000,1,1
148.831961600,1,0
148.831978800,1,1
148.831996400,1,0
148.832004800,1,1
148.832022400,1,0
148.832039600,1,1
148.832057000,1,0
148.832065600,1,1
148.832074200,1,0
148.832134800,1,1
148.832152200,1,0
148.832230200,1,1
148.832247600,1,0
148.832308200,1,1
148.832317000,1,0
148.832325400,1,1
148.832343000,1,0
148.832360200,1,1
148.832368800,1,0
148.832420800,1,1
148.832438200,1,0
148.832516200,1,1
148.832533600,1,0
148.832611400,1,1
148.832628800,1,0
148.832706800,1,1
148.832724200,1,0
148.832732800,1,1
148.832741400,1,0
148.832767400,1,1
148.832819400,1,0
148.832828000,1,1
148.832836800,1,0
148.832845400,1,1
148.832854000,1,0
148.832871400,1,1
148.832880000,1,0
148.832897400,1,1
148.861952400,0,1
148.861969600,1,1
148.862039000,0,1
148.862047600,1,1
148.862125400,0,1
148.862151400,1,1
148.862160000,0,1
148.862203400,1,1
148.862212000,0,1
148.862289800,1,1
148.862298600,0,1
148.862315800,1,1
148.862324600,0,1
148.862376400,1,1
148.862385000,0,1
148.862411000,1,1
148.862419800,0,1
148.862463000,1,1
148.862471600,0,1
148.862549600,1,1
148.862558200,0,1
148.862566800,1,1
148.862575400,0,1
148.862601400,1,1
148.862610000,0,1
148.862618800,1,1
148.862644600,0,1
148.862653400,1,1
148.862670600,0,1
148.862679400,1,1
148.862688000,0,1
148.862705200,1,1
148.885718200,1,0
148.885735600,1,1
148.885813600,1,0
148.885822200,1,1
148.885908800,1,0
148.885917400,1,1
148.885943600,1,0
148.885986800,1,1
148.886004200,1,0
148.886082000,1,1
148.886099400,1,0
148.886142600,1,1
148.886151400,1,0
148.886177400,1,1
148.886194800,1,0
148.886272600,1,1
148.886290000,1,0
148.886316000,1,1
148.886324800,1,0
148.886368000,1,1
148.886385400,1,0
148.886394000,1,1
148.886402600,1,0
148.886463200,1,1
148.886480600,1,0
148.886498000,1,1
148.886506600,1,0
148.886558600,1,1
148.886576000,1,0
148.886653800,1,1
148.886688600,1,0
148.886766400,1,1
148.886783800,1,0
148.886801200,1,1
148.886809800,1,0
148.886861800,1,1
148.886879200,1,0
148.886887800,1,1
148.886896400,1,0
148.886957000,1,1
148.886974400,1,0
148.887052400,1,1
148.887069800,1,0
148.887078400,1,1
148.887095800,1,0
148.887147600,1,1
148.887165000,1,0
148.887173600,1,1
148.887182400,1,0
148.887243000,1,1
148.887260400,1,0
148.887338200,1,1
148.887355600,1,0
148.887381600,1,1
148.887390200,1,0
148.887433600,1,1
148.887451000,1,0
148.887459600,1,1
148.887468200,1,0
148.887528800,1,1
148.887546200,1,0
148.887624000,1,1
148.887641600,1,0
148.887719400,1,1
148.887736800,1,0
148.887745400,1,1
148.887754200,1,0
148.887762600,1,1
148.887771400,1,0
148.887780000,1,1
148.887788800,1,0
148.887797400,1,1
148.887806000,1,0
148.887814600,1,1
148.887832000,1,0
148.887840600,1,1
148.887849400,1,0
148.887858000,1,1
148.887866800,1,0
148.887875200,1,1
148.887884000,1,0
148.887892600,1,1
148.887901400,1,0
148.887910000,1,1
148.891271400,0,1
148.891288800,1,1
148.891358000,0,1
148.891366600,1,1
148.891444600,0,1
148.891453200,1,1
148.891470400,0,1
148.891522400,1,1
148.891531000,0,1
148.891609000,1,1
148.891617600,0,1
148.891652200,1,1
148.891660800,0,1
148.891695400,1,1
148.891704200,0,1
148.891721400,1,1
148.891730000,0,1
148.891782000,1,1
148.891790600,0,1
148.891808000,1,1
148.891816600,0,1
148.891868600,1,1
148.891877200,0,1
148.891885800,1,1
148.891894600,0,1
148.891955000,1,1
148.891963800,0,1
148.891972400,1,1
148.891989600,0,1
148.892041600,1,1
148.892050200,0,1
148.892059000,1,1
148.892076200,0,1
148.892128200,1,1
148.892136800,0,1
148.892145400,1,1
148.892154200,0,1
148.892214600,1,1
148.892223400,0,1
148.892232000,1,1
148.892240600,0,1
148.892301200,1,1
148.892309800,0,1
148.892387800,1,1
148.892396400,0,1
148.892413800,1,1
148.892422400,0,1
148.892431000,1,1
148.892439600,0,1
148.892448400,1,1
148.892483000,0,1
148.892509000,1,1
148.892517600,0,1
148.892526200,1,1
148.892534800,0,1
148.892543600,1,1
148.916078600,1,0
148.916095800,1,1
148.916173800,1,0
148.916182400,1,1
148.916269200,1,0
148.916277800,1,1
148.916303800,1,0
148.916347000,1,1
148.916373000,1,0
148.916451000,1,1
148.916468400,1,0
148.916477000,1,1
148.916485800,1,0
148.916494200,1,1
148.916511800,1,0
148.916546200,1,1
148.916563600,1,0
148.916641600,1,1
148.916659000,1,0
148.916676200,1,1
148.916685000,1,0
148.916736800,1,1
148.916754200,1,0
148.916762800,1,1
148.916771600,1,0
148.916832200,1,1
148.916875600,1,0
148.916892800,1,1
148.916901600,1,0
148.916953400,1,1
